=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.04 13:48:47 =~=~=~=~=~=~=~=~=~=~=~=,
Time (ms), Temperature (C)
3444,22
40000,22
121001,22
202002,22
233003,21.75
